问题（GPT风格，合成）,岗位,能力项,建议等级
遇到需要处理「结构化沟通与专业写作」的真实场景时，你会如何决策？请说清楚背景、关键约束、可选方案与度量与复盘。,通用,通用能力>结构化沟通与专业写作,B1
现在给你一周时间做「结构化沟通与专业写作」专项优化，你会如何拆分任务、设置里程碑与衡量成功？,通用,通用能力>结构化沟通与专业写作,B1
如果出现异常/失败，围绕「结构化沟通与专业写作」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>结构化沟通与专业写作,B1
遇到需要处理「结构化沟通与专业写作」的真实场景时，你会如何决策？请说清楚背景、关键约束、可选方案与度量与复盘。,通用,通用能力>结构化沟通与专业写作,B1
当外部约束（如合规/性能/成本）冲突时，你会如何在「结构化沟通与专业写作」上达成平衡？请描述试验与评估方法。,通用,通用能力>结构化沟通与专业写作,B1
假设我们线上暴露了与「结构化沟通与专业写作」相关的隐患，你会如何组织一次快速复盘并固化改进？,通用,通用能力>结构化沟通与专业写作,B1
如果你来负责这块工作，围绕「结构化沟通与专业写作」，你会怎么落地？先讲讲一页纸/SCQA，再说说复盘纪要，最后给出说服性表达与常见做法。,通用,通用能力>结构化沟通与专业写作,B1
遇到需要处理「结构化沟通与专业写作」的真实场景时，你会如何决策？请说清楚背景、关键约束、可选方案与度量与复盘。,通用,通用能力>结构化沟通与专业写作,B2
如果出现异常/失败，围绕「结构化沟通与专业写作」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>结构化沟通与专业写作,B2
假设我们线上暴露了与「结构化沟通与专业写作」相关的隐患，你会如何组织一次快速复盘并固化改进？,通用,通用能力>结构化沟通与专业写作,B2
当外部约束（如合规/性能/成本）冲突时，你会如何在「结构化沟通与专业写作」上达成平衡？请描述试验与评估方法。,通用,通用能力>结构化沟通与专业写作,B2
当外部约束（如合规/性能/成本）冲突时，你会如何在「结构化沟通与专业写作」上达成平衡？请描述试验与评估方法。,通用,通用能力>结构化沟通与专业写作,B2
如果出现异常/失败，围绕「结构化沟通与专业写作」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>结构化沟通与专业写作,B2
假设我们线上暴露了与「结构化沟通与专业写作」相关的隐患，你会如何组织一次快速复盘并固化改进？,通用,通用能力>结构化沟通与专业写作,B2
如果你来负责这块工作，围绕「结构化沟通与专业写作」，你会怎么落地？先讲讲一页纸/SCQA，再说说复盘纪要，最后给出说服性表达与指标与机制。,通用,通用能力>结构化沟通与专业写作,B3
请你把「结构化沟通与专业写作」讲给不熟悉该领域的同事听，要求：准确、可操作、并给一个最小可行示例。,通用,通用能力>结构化沟通与专业写作,B3
现在给你一周时间做「结构化沟通与专业写作」专项优化，你会如何拆分任务、设置里程碑与衡量成功？,通用,通用能力>结构化沟通与专业写作,B3
如果出现异常/失败，围绕「结构化沟通与专业写作」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>结构化沟通与专业写作,B3
遇到需要处理「结构化沟通与专业写作」的真实场景时，你会如何决策？请说清楚背景、关键约束、可选方案与度量与复盘。,通用,通用能力>结构化沟通与专业写作,B3
请你把「结构化沟通与专业写作」讲给不熟悉该领域的同事听，要求：准确、可操作、并给一个最小可行示例。,通用,通用能力>结构化沟通与专业写作,B3
在多团队协作下推进「数据素养与度量意识」时，你会如何对齐接口/口径并管理风险？请给出具体机制。,通用,通用能力>数据素养与度量意识,B1
假设我们线上暴露了与「数据素养与度量意识」相关的隐患，你会如何组织一次快速复盘并固化改进？,通用,通用能力>数据素养与度量意识,B1
如果你来负责这块工作，围绕「数据素养与度量意识」，你会怎么落地？先讲讲指标口径，再说说显著性/置信区间，最后给出监控看板与常见做法。,通用,通用能力>数据素养与度量意识,B1
