分类,题目,链接
1. 数组 & 矩阵,二分查找,力扣网
 ,移除元素,力扣网
 ,有序数组的平方,力扣网
 ,长度最小的子数组,力扣网
 ,螺旋矩阵 Ⅱ,力扣网
,二分查找 II,牛客网
,寻找峰值,牛客网
,数组中的逆序对,牛客网
,旋转数组的最小数字,牛客网
,比较版本号,牛客网
,排序数组,牛客网
,和为K的子数组,力扣网
,最小覆盖子串,力扣网
,轮转数组,力扣网
,除自身以外数组的乘积,力扣网
,缺失的第一个正数,力扣网
,矩阵置零,力扣网
,旋转图像,力扣网
,搜索二维矩阵Ⅱ,力扣网
,搜索插入位置,力扣网
,搜索二维矩阵,力扣网
,在排序数组中查找元素的第一个和最后一个位置,力扣网
,搜索旋转排序数组,力扣网
,寻找旋转排序数组中的最小值,力扣网
,寻找两个正序数组的中位数,力扣网
2. 链表,移除链表元素,力扣网
 ,翻转链表,力扣网
 ,两两交换链表中的节点,力扣网
 ,删除链表的倒数第 N 个节点,力扣网
 ,链表相交,力扣网
 ,环形链表 Ⅱ,力扣网
,链表内指定区间反转,牛客网
,合并两个排序的链表,牛客网
,合并 k 个已排序的链表,牛客网
,判断链表中是否有环,牛客网
,链表中环的入口结点,牛客网
,链表中倒数最后 k 个结点,牛客网
,两个链表的第一个公共结点,牛客网
,链表相加（二）,牛客网
,单链表的排序,牛客网
,判断一个链表是否为回文结构,牛客网
,链表的奇偶重排,牛客网
,删除有序链表的重复元素（1）,牛客网
,删除有序链表的重复元素（2）,牛客网
,回文链表,牛客网
,环形链表,牛客网
,两数相加,牛客网
,K个一组翻转链表,牛客网
,随机链表的复制,牛客网
,排序链表,牛客网
,LRU缓存,牛客网
3. 哈希 & 贪心,有效字母异位词,力扣网
 ,两个数组的交集,力扣网
 ,快乐数,力扣网
 ,两数之和,力扣网
 ,四数相加 Ⅱ,力扣网
 ,赎金信,力扣网
 ,三数之和,力扣网
 ,四数之和,力扣网
,分发饼干,力扣网
,K 次取反后最大化数组和,力扣网
,柠檬水找零,力扣网
,摆动序列,力扣网
,单调递增的数字,力扣网
,买卖股票的最佳时机 Ⅱ,力扣网
,买卖股票的最佳时机含手续费,力扣网
,分发糖果,力扣网
,根据身高重建队列,力扣网
,跳跃游戏,力扣网
,跳跃游戏 Ⅱ,力扣网
,用最少数量的箭引爆气球,力扣网
,无重叠区间,力扣网
,划分字母区间,力扣网
,合并区间,力扣网
,最大子序和,力扣网
,加油站,力扣网
,监控二叉树,力扣网
,字符串中的第一个唯一字符,牛客网
,数组中出现次数超过一半的数字,牛客网
,数组中只出现一次的两个数字,牛客网
,缺失的第一个正整数,牛客网
,缺失的第 k 个正整数,牛客网
,主持人调度（二）,牛客网
,最长回文子串,牛客网
,字母异位词分组,力扣网
,最长连续序列,力扣网
4. 字符串 & 双指针,反转字符串,力扣网
 ,反转字符串 Ⅱ,力扣网
 ,替换数字,卡码网
 ,翻转字符串中的单词,力扣网
 ,右旋转字符串,卡码网
 ,找出字符串中第一个匹配项的下标,力扣网
 ,重复的子字符串,力扣网
,字符串变形,牛客网
,最长公共前缀,牛客网
,验证 IP 地址,牛客网
,大数加法,牛客网
,下一个排列,牛客网
,判断是否为回文字符串,牛客网
,反转字符串,牛客网
,最长无重复子数组,牛客网
,盛水最多的容器,牛客网
,移动零,力扣网
,盛最多水的容器,力扣网
,无重复字符的最长子串,力扣网
,找到字符串中所有字母异位词,力扣网
5. 堆、栈、队列,用栈实现队列,力扣网
 ,用队列实现栈,力扣网
 ,有效括号序列,力扣网
 ,删除字符串的相邻重复项,力扣网
 ,逆波兰表达式求值,力扣网
 ,滑动窗口最大值,力扣网
 ,前 K 个高频元素,力扣网
,用两个栈实现队列,牛客网
,包含min函数的栈,牛客网
,有效括号序列,牛客网
,滑动窗口最大值,牛客网
,最小的 K 个数,牛客网
,寻找第 K 大,牛客网
,数据流中的中位数,牛客网
,表达式求值,牛客网
,有效的括号,力扣网
,最小栈,力扣网
,字符串解码,力扣网
,柱状图中最大的矩形数组中的第K个最大元素,力扣网
,数据流的中位数,力扣网
6. 二叉树,二叉树的递归遍历（前、中、后序）,力扣网
 ,二叉树的迭代遍历（前、中、后序）,力扣网
 ,二叉树的层序遍历,力扣网
 ,二叉树的层序遍历 Ⅱ,力扣网
 ,二叉树的右视图,力扣网
 ,二叉树的层平均值,力扣网
 ,N 叉树的层序遍历,力扣网
 ,在每个树行中找最大值,力扣网
 ,填充每个节点的下一个右侧节点指针,力扣网
 ,对称二叉树,力扣网
 ,二叉树的最大深度,力扣网
 ,二叉树的最小深度,力扣网
 ,完全二叉树的节点个数,力扣网
 ,平衡二叉树,力扣网
 ,二叉树,力扣网
 ,二叉树的所有路径,力扣网
 ,左叶子之和,力扣网
 ,找树左下角的值,力扣网
 ,路径总和,力扣网
 ,路径总和 Ⅱ,力扣网
 ,翻转二叉树,力扣网
 ,从中序与后序构造二叉树,力扣网
 ,从前序与中序构造二叉树,力扣网
 ,最大二叉树,力扣网
 ,合并二叉树,力扣网
 ,二叉搜索树中的搜索,力扣网
 ,验证二叉搜索树,力扣网
 ,二叉搜索树的最小绝对差,力扣网
 ,二叉搜索树中的众数,力扣网
 ,把二叉搜索树转换为累加树,力扣网
 ,二叉搜索树中的插入操作,力扣网
 ,删除二叉搜索树中的节点,力扣网
 ,修剪二叉搜索树,力扣网
 ,将有序数组转换为二叉搜索树,力扣网
 ,二叉树的最近公共祖先,力扣网
 ,二叉搜索树的最近公共祖先,力扣网
,二叉树的层序遍历,牛客网
,填充每个节点的下一个右侧节点指针 II,牛客网
,二叉搜索树与双向链表,牛客网
,合并二叉树,牛客网
,判断是不是二叉搜索树,牛客网
,判断是不是完全二叉树,牛客网
,判断是不是平衡二叉树,牛客网
,二叉搜索树的最近公共祖先,牛客网
,序列化二叉树,牛客网
,重建二叉树,牛客网
,二叉树的直径,牛客网
,二叉搜索树中第K小的元素,牛客网
,二叉树展开为链表,牛客网
,路径总和Ⅲ,牛客网
,二叉树中的最大路径和,牛客网
7. 递归 & 回溯,组合,力扣网
 ,组合总和 Ⅲ,力扣网
 ,电话号码的字母组合,力扣网
 ,组合总和,力扣网
 ,组合总和 Ⅱ,力扣网
 ,分割回文串,力扣网
 ,复原 IP 地址,力扣网
 ,子集,力扣网
 ,子集 Ⅱ,力扣网
 ,递增子序列,力扣网
 ,无重复项的全排列,力扣网
 ,有重复项的全排列,力扣网
 ,N 皇后,力扣网
 ,解数独,力扣网
 ,重新安排行程,力扣网
,无重复项的全排列,牛客网
,有重复项的全排列,牛客网
,字符串的排列,牛客网
,复原 IP 地址,牛客网
,括号生成,牛客网
,矩阵最长递增路径,牛客网
,括号生成,力扣网
,单词搜索,力扣网
8. 动态规划,斐波那契数列,力扣网
 ,爬楼梯,力扣网
 ,使用最小花费爬楼梯,力扣网
 ,不同路径,力扣网
 ,不同路径 Ⅱ,力扣网
 ,整数拆分,力扣网
 ,不同的二叉搜索树,力扣网
 ,分割等和子集,力扣网
 ,最后一块石头的重量 Ⅱ,力扣网
 ,目标和,力扣网
 ,一和零,力扣网
 ,零钱兑换 Ⅱ,力扣网
 ,组合总和 Ⅳ,力扣网
 ,爬楼梯（进阶版）,卡码网
 ,零钱兑换,力扣网
 ,完全平方数,力扣网
 ,单词拆分,力扣网
 ,打家劫舍,力扣网
 ,打家劫舍 Ⅱ,力扣网
