分类,问题,公司
1. 个人背景与经历,自我介绍,拼多多
,深挖项目,拼多多
,项目介绍,拼多多
,问学校base,拼多多
,未来在上海发展的意向,拼多多
,竞赛项目介绍（主要工作内容、团队分工、分工原因）,TP-Link
,科研项目介绍（详细内容、研究难点、创新点）,TP-Link
,平时有玩游戏吗，玩什么游戏,网易
,参加过社团活动吗，有哪些,网易
,未来的就业城市意向，接受base在广州吗,网易
,你是否有过使用或开发大模型的经验？请分享一个具体的案例。,米哈游
,弱化技术地介绍一个最有成就感的项目,字节
,问一些团队合作、沟通交流、克服压力的经历,字节
,选择 offer 考虑哪些因素,字节
,未来职业规划,字节
,介绍一个最有难度、体现能力的项目,字节
,弱化技术地介绍一个最有成就感的项目,字节
,问一些团队合作、沟通交流、克服压力的经历,字节
,选择 offer 考虑哪些因素,字节
,论文讲解,字节
,开放式问题（技术探索）,字节
,碰到的最难的问题,大疆
,为什么离职，希望一份什么样的工作,小米
,有没有什么问题想要了解的（业务场景/工作内容）,小米
2. 项目相关,讨论项目的优缺点,拼多多
,介绍限速器项目，展开讲一下在哪个层面做限速？举个例子讲讲。,美团
,实现方法是什么？具体怎么实现？,美团
,介绍agent项目。,美团
,不同agent如何协作的？,美团
,agent项目的算法工程体现在哪里？,美团
,用户搜出来MacBook，排序在第一位，如何设计agent去调用各种知识或者搜索内容去回答用户为什么这个MacBook虽然价格高但还是排序在第一位？,美团
,谈谈你对美团无人机的理解，它背后有什么技术挑战？,美团
,路径规划遇到突发情况怎么办？,美团
,飞机需要人为控制，你怎么实现这个控制？有什么思路？,美团
,无线电技术？城市里面的低空状态怎么解决信号影响问题？,美团
,遇到通信不覆盖怎么办？,美团
,设计多张物联网卡，解决某些地方运营商不支持的问题，怎么实现信号不断联？,美团
,用什么协议？,美团
,HTTP和UDP相关知识。,美团
,什么是梯度消失？,字节
,什么是梯度爆炸？,字节
,怎么缓解梯度消失和梯度爆炸？,字节
,L1 和 L2 正则化的含义及区别？,字节
,ReLU 激活函数能否缓解梯度消失？,字节
,Softmax 激活函数能否缓解梯度消失？,字节
,广告领域如何运用运筹优化方法？（我是运筹转广告）,字节
,介绍一个最有难度、体现能力的项目,字节
,介绍项目，项目拷打,字节
,业务背景,字节
,数据的构成，是否使用了合成数据,字节
,训练的过程中用了什么方法（为什么用这样的方式，用别的方式会有什么问题，是否尝试过）,字节
,如何评估整体的效果,字节
,微调之后是否还会出现幻觉的问题，出现了的话应该怎么处理,字节
,这个能力是否只能用在当前业务场景，是否可以作为一个通用的能力,字节
,是否尝试过用其他的基座模型,字节
,逻辑框架,字节
,优化前和优化后的能力差距,字节
,遇到最大的困难是什么？怎么解决的,字节
,是否还有别的优化方式,字节
,某个流程是否可以进行再优化,字节
,上线之后的效果反馈,字节
,大模型改良技术（微调）；SFT原理、Lora原理；SFT微调之后表现不好有什么原因；FP16和BF16区别,字节
,广告领域如何运用运筹优化方法？（我是运筹转广告）,字节
,竞赛项目的具体实现（技术细节、个人贡献）,TP-Link
,竞赛项目的难点及解决方案,TP-Link
,科研项目的技术细节（面试官深入追问）,TP-Link
,科研项目的实验设计、数据分析和结论,TP-Link
,你的系统中是如何定义和处理多个摄像头的重叠区域的？,TP-Link
,参数选择是否经过系统性的测试？最终结果受哪些因素影响？,TP-Link
,实验环境是如何构建的？数据从哪里来？如何确保公平对比？,TP-Link
,是否测试过极端场景（如视角变化大、转弯多）？系统表现如何？,TP-Link
,你提出的新模块是否做过单独测试？效果提升有多大？计算开销能接受吗？,TP-Link
,关键帧的选择策略是怎样的？,TP-Link
,地图点如何管理和关联多个帧？有没有用到先验信息？,TP-Link
,为什么原始方法在某些环境下不稳定？你的改进逻辑是什么？,TP-Link
,你在项目中主要承担哪一部分？涉及模型训练还是系统整合？,TP-Link
,系统是如何综合多个输入结果来提高鲁棒性的？,TP-Link
,为什么选择现在的感知方案？替代方案有哪些？,TP-Link
,系统中哪些模块是你负责的？哪些是直接调用现有的？,TP-Link
,使用的算法是否满足实时性？是否有预处理环节？,TP-Link
,数据如何采集与标注？是否人工完成？量级如何？,TP-Link
,如果规模扩大，你会怎么优化数据构建流程？,TP-Link
,深挖项目：比如项目涉及的一些落地指标表现如何,网易
,请描述一下你如何对大模型进行优化，以提高其性能和效率。,米哈游
,面对大模型训练和推理所需的庞大计算资源，你有什么解决建议？,米哈游
,在开发大模型时，当你面临推理阶段的资源需求时，你如何确保模型的可解释性和公平性？,米哈游
,"大模型训练过程学习率一般是怎么变化的, 退火阶段学习率如何变化的?",米哈游
,dpo训完了一般输出长度会变化吗? 如何解决这个问题？,米哈游
,这个项目解决了什么问题？你的数据集的大小是多大？,阿里
,你的数据分块策略是什么，为什么要用这样的策略？,阿里
,Embedding用的什么模型，为什么要用这个模型？,阿里
,向量召回后为什么要做rerank，rerank用的什么算法，为什么要用这个？,阿里
,微调数据集是什么格式，微调数据有没有做预处理，在什么环境下训练的，用了什么显卡，内存占用情况,阿里
,模型出现幻觉时，一般怎么解决的,阿里
,裸机和RTOS，如何挑选，包括Linux驱动,大疆
,RTOS如何保证实时性,大疆
,FreeRTOS源码如何实现任务调度,大疆
,FreeRTOS如何实现任务切换,大疆
,怎么判断能驱动几路电机,大疆
,如何判断主频能带动多少电机,大疆
,摄像头驱动底层，如何检测驱动错误,大疆
,如果打印日志，如何根据日志排查I2C驱动,大疆
,I2C驱动的时序,大疆
,Camera HAL的了解，camx框架的工作流，ISP简单介绍,大疆
,Uboot 启动的流程/Linux启动流程，协同说一下这两个。,大疆
,"操作系统调度过程深挖,内核组成。",大疆
,tasklet 和 workqueue 的底层区别,大疆
,做过哪些 Linux 驱动，遇到过什么问题？项目这些都是自己做的吗？简单说一下难点,大疆
,linux 内核的一些了解，主要是进程调度还有VFS。,大疆
,问题抽象过程、损失函数设计、项目收益如何衡量、项目上线生效流程,小米
,系统设计需要注意什么、如何设计一个系统、系统性能评估指标（内存使用率、QPS、P99/P95延迟等）,小米
,对模型压缩技术的了解,小天才
,两种类型的量化方法有哪些主流实现,小天才
,对CUDA编程的了解,小天才
,对GPU架构的了解,小天才
3. 算法与编程能力,实现多头注意力,拼多多
,给定图中所有节点以及节点关联，假设所有有关联关系的节点能连起来成为独立子图，要求图里所有独立子图的数量（经典BFS）,拼多多
,给定一个链表，删除链表的倒数第n个结点，并返回链表的头结点,拼多多
,Spring Boot的原理是什么？,美团
,进程和线程的区别是什么？,美团
,Linux有了解吗？,美团
,Maven知道吗？它是干什么用的？原理是什么？,美团
,算法题：合并有序数组（力扣原题）。,美团
,Java实现sort的底层原理是什么？时间复杂度是多少？,美团
,写一个简单的排序算法（冒泡排序）。,美团
,如果把数组改成List，怎么实现排序，最后要转成数组输出？,美团
,算法题：每k个反转链表。,美团
,排序有哪些方法？介绍优缺点。,美团
,LC合并有序链表。,美团
,赛马问题。,美团
,Softmax 实现,字节
,Sigmoid 实现,字节
,交叉熵损失函数实现,字节
,计算岛屿数量,字节
,最长递增子序列,字节
,给定邻接矩阵和集合a和b，找出总距离最近的a-b连接集合，要求a都用到，b不用都用到且可以重复；要求时间复杂度N,字节
,"给定一个数列，要求找到一个分隔点划分A1和A2，使得A1和A2的方差最接近（要求时间复杂度 O(n), 空间复杂度 O(1)）",字节
,三门问题，三扇门其中一个有奖品两个是空的，你先选一扇，然后主持人打开一扇是空的，此时问是否要更换选择,字节
,10个同学，至少两个生日为同一天的概率是多少？,字节
,强化学习有哪些分类,字节
,介绍一下PPO、DQN，写一下DQN损失表达式,字节
,LR和DNN中最后一层作全零初始化是否会影响训练,字节
,LR的梯度表达式,字节
,Transformers 和之前的模型的区别，为什么 Transformers 好？,字节
,介绍下 Bert，框架，预训练和后续的微调任务？,字节
,为什么 Bert 适合做向量模型，底层原理是什么？,字节
,RoBERTa 做了什么优化？,字节
,想要大模型输出的内容都为 json 格式，怎么实现？,字节
,OOM 问题怎么处理,字节
,大模型的参数量是怎么计算出来的？,字节
,DeepSeek R1 的训练方式，GRPO 的原理是什么？,字节
,基于过程的强化学习和基于结果的强化学习的差异是什么？,字节
,Agent 的概念是什么？整体流程是怎么样的？,字节
,DeepSeek R1 对于 Agent 的能力是否有提升，如何进行运用？,字节
,RAG 的整体流程和评估方式？,字节
,如何解决 RAG 中信息覆盖率低、幻觉、逻辑计算的问题？,字节
,大模型的数据合成应该怎么做？有哪些方式？,字节
,DeepSpeed 的三个 stage 分别是什么？有什么作用？,字节
,模型并行和数据并行的区别是什么？这两种方式的数据流和梯度是怎么更新的,字节
,强化学习有哪些分类,字节
,介绍一下PPO、DQN，写一下DQN损失表达式,字节
,LR和DNN中最后一层作全零初始化是否会影响训练,字节
,LR的梯度表达式,字节
,手写位置编码,字节
,手写多头注意力机制,字节
,零钱兑换,字节
,最长递增子序列,字节
,打家劫舍,字节
,最长公共子序列,字节
,跳跃游戏,字节
