题目来源：牛客网（近两年面试经验帖，仅供参考）,Unnamed: 1,Unnamed: 2
分类,问题,公司
1. 个人背景与经历,自我介绍,百度
,深挖实习经历,百度
,谈谈之前实习经历中让你印象最深刻的部分、遇到的困难、解决思路,百度
,举例说明在实习中遇到的沟通难题，以及你的思考和解决过程,百度
,职业规划,腾讯
,对考研的看法,腾讯
,岗位理解,京东
,有没有成功借助用户反馈来优化产品或服务的经历,京东
,本科、硕士的成绩排名,京东
,有无论文、专利成果产出,京东
,讲一下你最引以为豪的成果,京东
,家乡位置、父母职业、父母对自己未来的工作看法,京东
,有无学校社会实践，具体内容,京东
,实习中用户目标人群是什么,京东
,本科、硕士的成绩排名,京东
,有无论文、专利成果产出,京东
,讲一下你最引以为豪的成果,京东
,家乡位置、父母职业、父母对自己未来的工作看法,京东
,有无学校社会实践，具体内容,京东
,实习经历：问如何建立关键词体系（具体操作）？看做的都是大方向上的决策，为什么？有接触过具体的细分策略执行吗？,科大讯飞
,自己介绍一下参加项目的感受,美团
,自己说三个缺点三个优点,美团
,最近看的一些好的电视剧电影并评价,美团
,你也有做小红书自媒体的经历，你是怎么做的,作业帮
,现在这份实习想要离职的原因,作业帮
,到岗时间，实习时长,作业帮
,为什么想做运营（本人是商业分析专业）,去哪儿旅行
,你做过的项目最满意的是哪一个,去哪儿旅行
,自我介绍（中英文）,SHEIN
,未来的职业规划方向？,SHEIN
,为什么实习都不超过半年？,SHEIN
,英语听说读写水平？,SHEIN
,英语问答：能否接受跨国会议的时差？,SHEIN
2. 产品理解与运营,用不用网盘，怎么理解这个产品，网盘的商业化运营从哪几个角度,百度
,从广告、会员等方面展开继续说一下,百度
,如果你负责内容运营，你的账号会专注哪方面内容？粉丝量和更新频率大概能做到多少？,百度
,策划一场针对京东用户的促销活动，从哪些新颖的角度入手？,京东
,结合京东的业务特点，说说你在分析用户数据时关注哪些关键指标,京东
,个性化推荐机制对用户满意度的影响,京东
,对京东PLUS会员制度的看法呗，你有什么好点子能优化它,京东
,实习中用户目标人群是什么,京东
,如何定位,京东
,如何对竞品进行深挖,京东
,针对目标人群的设计功能点有哪些,京东
,策划一场针对京东用户的促销活动，从哪些新颖的角度入手？,京东
,面对用户流失可以通过哪些具体的方法去深入分析原因？怎么制定出有效的留存策略?,京东
,结合京东的业务特点，说说你在分析用户数据时关注哪些关键指标,京东
,有没有成功借助用户反馈来优化产品或服务的经历,京东
,如何调整京东的用户运营策略,京东
,对于京东的新用户，如何进行引导流程,京东
,个性化推荐机制对用户满意度的影响,京东
,对京东PLUS会员制度的看法，你有什么好点子能优化它,京东
,如何判断一次用户运营活动是成功还是失败,京东
,如何定位（目标人群）,京东
,如何对竞品进行深挖,京东
,针对目标人群的设计功能点有哪些,京东
,你对于我们岗位的理解（前面自我介绍说觉得岗位很契合自己），具体你觉得我们是做什么的？,科大讯飞
,三个方向工作简单给我介绍总结了一下，问我觉得最适合哪个（看我的意愿和实际工作是否契合）？,科大讯飞
,怎么去进行产品运营,美团
,上段实习的报表是怎么搭建的？,美团
